
12288 atoms 
5 atom types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
0.00000000 120.00000000 zlo zhi
0.00000  0.00000000 0.00000000 xy xz yz

Masses 

1 107.868 
2 126.904 
3 15.9994 
4 1.008
5 1.0e-100

Atoms 

343 1 0.60000000 11.49727005  22.56962081 19.75501440
344 1 0.60000000 11.49727005  22.56962081 27.27901440
345 1 0.60000000 9.19777005  26.55247164 4.70701440
346 1 0.60000000 9.19777005  26.55247164 12.23101440
347 1 0.60000000 9.19777005  26.55247164 19.75501440
348 1 0.60000000 9.19777005  26.55247164 27.27901440
349 1 0.60000000 6.89827005  30.53532247 4.70701440
350 1 0.60000000 6.89827005  30.53532247 12.23101440
351 1 0.60000000 6.89827005  30.53532247 19.75501440
352 1 0.60000000 6.89827005  30.53532247 27.27901440
353 1 0.60000000 4.59877005  34.51817330 4.70701440
354 1 0.60000000 4.59877005  34.51817330 12.23101440
355 1 0.60000000 4.59877005  34.51817330 19.75501440
356 1 0.60000000 4.59877005  34.51817330 27.27901440
357 1 0.60000000 2.29927005  38.50102414 4.70701440
358 1 0.60000000 2.29927005  38.50102414 12.23101440
359 1 0.60000000 2.29927005  38.50102414 19.75501440
360 1 0.60000000 2.29927005  38.50102414 27.27901440
361 1 0.60000000 -0.00022996  42.48387497 4.70701440
362 1 0.60000000 -0.00022996  42.48387497 12.23101440
363 1 0.60000000 -0.00022996  42.48387497 19.75501440
364 1 0.60000000 -0.00022996  42.48387497 27.27901440
365 1 0.60000000 -2.29972996  46.46672580 4.70701440
366 1 0.60000000 -2.29972996  46.46672580 12.23101440
367 1 0.60000000 -2.29972996  46.46672580 19.75501440
368 1 0.60000000 -2.29972996  46.46672580 27.27901440
369 1 0.60000000 -4.59922996  50.44957663 4.70701440
370 1 0.60000000 -4.59922996  50.44957663 12.23101440
371 1 0.60000000 -4.59922996  50.44957663 19.75501440
372 1 0.60000000 -4.59922996  50.44957663 27.27901440
373 1 0.60000000 -6.89872996  54.43242746 4.70701440
374 1 0.60000000 -6.89872996  54.43242746 12.23101440
375 1 0.60000000 -6.89872996  54.43242746 19.75501440
376 1 0.60000000 -6.89872996  54.43242746 27.27901440
377 1 0.60000000 -9.19822996  58.41527829 4.70701440
378 1 0.60000000 -9.19822996  58.41527829 12.23101440
379 1 0.60000000 -9.19822996  58.41527829 19.75501440
380 1 0.60000000 -9.19822996  58.41527829 27.27901440
381 1 0.60000000 -11.49772996  62.39812913 4.70701440
382 1 0.60000000 -11.49772996  62.39812913 12.23101440
383 1 0.60000000 -11.49772996  62.39812913 19.75501440
384 1 0.60000000 -11.49772996  62.39812913 27.27901440
385 1 0.60000000 27.59377005  2.65536665 4.70701440
386 1 0.60000000 27.59377005  2.65536665 12.23101440
387 1 0.60000000 27.59377005  2.65536665 19.75501440
388 1 0.60000000 27.59377005  2.65536665 27.27901440
389 1 0.60000000 25.29427005  6.63821748 4.70701440
390 1 0.60000000 25.29427005  6.63821748 12.23101440
391 1 0.60000000 25.29427005  6.63821748 19.75501440
392 1 0.60000000 25.29427005  6.63821748 27.27901440
393 1 0.60000000 22.99477005  10.62106831 4.70701440
394 1 0.60000000 22.99477005  10.62106831 12.23101440
395 1 0.60000000 22.99477005  10.62106831 19.75501440
396 1 0.60000000 22.99477005  10.62106831 27.27901440
397 1 0.60000000 20.69527005  14.60391915 4.70701440
398 1 0.60000000 20.69527005  14.60391915 12.23101440
399 1 0.60000000 20.69527005  14.60391915 19.75501440
400 1 0.60000000 20.69527005  14.60391915 27.27901440
401 1 0.60000000 18.39577005  18.58676998 4.70701440
402 1 0.60000000 18.39577005  18.58676998 12.23101440
403 1 0.60000000 18.39577005  18.58676998 19.75501440
404 1 0.60000000 18.39577005  18.58676998 27.27901440
405 1 0.60000000 16.09627005  22.56962081 4.70701440
406 1 0.60000000 16.09627005  22.56962081 12.23101440
407 1 0.60000000 16.09627005  22.56962081 19.75501440
408 1 0.60000000 16.09627005  22.56962081 27.27901440
409 1 0.60000000 13.79677005  26.55247164 4.70701440
410 1 0.60000000 13.79677005  26.55247164 12.23101440
